No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
356,JBSS,"John B. Sanfilippo & Son, Inc.",1296109744,112.16,0.11%,1023212000
357,IBRX,"ImmunityBio, Inc.",1294875426,2.97,5.69%,586000
358,MCRI,"Monarch Casino & Resort, Inc.",1294865450,67.67,0.46%,486196000
359,CPRX,"Catalyst Pharmaceuticals, Inc.",1290957090,12.17,-0.25%,256480000
360,LGND,Ligand Pharmaceuticals Incorporated,1284210375,74.35,-3.32%,194531000
361,CAMT,Camtek Ltd.,1283699520,28.80,-1.20%,316200000
362,AIV,Apartment Investment and Management Company,1276611440,8.59,2.87%,184617000
363,FDP,Fresh Del Monte Produce Inc.,1276317341,26.59,,4433800000
364,FBK,FB Financial Corporation,1276185680,27.28,-0.94%,500617000
365,RLAY,"Relay Therapeutics, Inc.",1275720370,10.49,3.05%,1188000
366,OPRA,Opera Limited,1274860818,14.19,5.19%,346504000
367,HSKA,Heska Corporation,1271457700,116.50,-0.26%,254888000
368,ALHC,"Alignment Healthcare, Inc.",1267810860,6.73,1.36%,1527788000
369,SKYW,"SkyWest, Inc.",1267713432,28.53,-0.24%,2961604000
370,INDI,"indie Semiconductor, Inc.",1263949880,8.86,-2.42%,129250000
371,DAC,Danaos Corporation,1254965999,61.67,-1.03%,1007017000
372,GEL,"Genesis Energy, L.P.",1253573970,10.23,-0.87%,2947622000
373,NTB,The Bank of N.T. Butterfield & Son Limited,1252696032,25.14,-1.49%,568986000
374,JELD,"JELD-WEN Holding, Inc.",1249085460,14.70,-1.93%,5180774000
375,DOLE,Dole plc,1247924480,13.15,1.78%,8973038000
376,IDYA,"IDEAYA Biosciences, Inc.",1247207654,21.77,2.74%,47452000
377,PX,"P10, Inc.",1246806600,10.74,1.70%,212332000
378,HKD,AMTD Digital Inc.,1246306898,6.51,-0.31%,25251026
379,SYBT,"Stock Yards Bancorp, Inc.",1246227500,42.50,-2.37%,329085000
380,USNA,"USANA Health Sciences, Inc.",1240488296,64.28,0.89%,974094000
381,HBM,Hudbay Minerals Inc.,1239515420,4.73,-0.21%,1378040000
382,ETNB,"89bio, Inc.",1238035747,16.99,0.47%,
383,FBNC,First Bancorp,1237123470,30.18,-2.46%,379830000
384,RXRX,"Recursion Pharmaceuticals, Inc.",1236868344,6.43,17.55%,46644000
385,CASH,"Pathward Financial, Inc.",1235302110,45.90,-0.48%,585049000
386,NMFC,New Mountain Finance Corporation,1234459510,12.23,0.74%,317620000
387,SPCE,"Virgin Galactic Holdings, Inc.",1232074890,4.36,-2.90%,2385000
388,TVTX,"Travere Therapeutics, Inc.",1227300021,16.45,-0.96%,220524000
389,PAY,"Paymentus Holdings, Inc.",1222428299,9.91,3.44%,528625000
390,LADR,Ladder Capital Corp,1221249380,9.62,-0.52%,341889000
391,MNKD,MannKind Corporation,1221093720,4.62,1.32%,128404000
392,HTLD,"Heartland Express, Inc.",1218791012,15.43,0.59%,1147636000
393,STEL,"Stellar Bancorp, Inc.",1218486006,22.86,-2.52%,340735000
394,USM,United States Cellular Corporation,1217404845,14.37,0.49%,4145000000
395,DGII,Digi International Inc.,1214933835,33.87,2.30%,429705000
396,RVLV,"Revolve Group, Inc.",1214766624,16.55,-3.83%,1097527000
397,STER,Sterling Check Corp.,1214595467,12.39,0.49%,754084000
398,ATUS,"Altice USA, Inc.",1213966139,2.67,-7.29%,9519740000
399,MAG,MAG Silver Corp.,1213665400,11.80,1.29%,
400,PLUS,ePlus inc.,1210864500,45.00,1.74%,2027060000
401,ATSG,"Air Transport Services Group, Inc.",1209631020,16.90,0.96%,2060704000
402,WNC,Wabash National Corporation,1206466800,25.41,1.76%,2576320000
403,CRNX,"Crinetics Pharmaceuticals, Inc.",1204084040,22.30,1.78%,4285000
404,MATW,Matthews International Corporation,1204012646,39.53,0.71%,1807666000
405,MLTX,MoonLake Immunotherapeutics,1202681475,27.55,-1.92%,
406,TDCX,TDCX Inc.,1199921040,8.28,-1.43%,368594030
407,CARS,Cars.com Inc.,1199654368,17.98,-2.28%,662737000
408,OPK,"OPKO Health, Inc.",1197609062,1.55,-1.90%,912554000
409,NOAH,Noah Holdings Limited,1196754680,15.21,-3.37%,444816643
410,LKFN,Lakeland Financial Corporation,1195252300,47.00,-1.76%,237707000
411,PFS,"Provident Financial Services, Inc.",1194775582,15.83,-1.98%,500350000
412,SILK,"Silk Road Medical, Inc",1192453594,30.79,-4.26%,150749000
413,LZB,La-Z-Boy Incorporated,1192400656,27.64,-1.60%,2472712000
414,HAIN,"The Hain Celestial Group, Inc.",1191394080,13.32,-0.30%,1805812000
415,MLKN,"MillerKnoll, Inc.",1190496888,15.75,-4.66%,4230900000
416,STC,Stewart Information Services Corporation,1190338419,43.69,-1.24%,2722627000
417,TWO,Two Harbors Investment Corp.,1189944870,12.31,-0.49%,21823000
418,HTLF,"Heartland Financial USA, Inc.",1189098460,27.94,-3.39%,724264000
419,SBH,"Sally Beauty Holdings, Inc.",1188482750,11.05,-3.91%,3799694000
420,RC,Ready Capital Corporation,1187197120,10.72,-0.92%,453833000
421,GDEN,"Golden Entertainment, Inc.",1186650780,41.15,4.26%,1126126000
422,ARVN,"Arvinas, Inc.",1185444480,22.20,-1.20%,139700000
423,SABR,Sabre Corporation,1185436379,3.57,0.28%,2694800000
424,VECO,Veeco Instruments Inc.,1179634260,22.82,-0.35%,643215000
425,CTIC,CTI BioPharma Corp.,1179007200,8.94,0.22%,75769000
426,NTST,NETSTREIT Corp.,1178959471,18.13,0.17%,104398000
427,HIMX,"Himax Technologies, Inc.",1178944000,6.76,0.60%,1032731000
428,SSU,SIGNA Sports United N.V.,1178234056,3.04,-0.33%,1149780927
429,KFRC,Kforce Inc.,1177354444,57.88,2.26%,1699795000
430,CWH,"Camping World Holdings, Inc.",1176586236,26.46,-1.64%,6791497000
431,SMMT,Summit Therapeutics Inc.,1172110787,1.68,3.70%,566316
432,DO,"Diamond Offshore Drilling, Inc.",1171698480,11.56,-1.20%,887060000
433,LPRO,Open Lending Corporation,1169137260,9.69,,167887000
434,WINA,Winmark Corporation,1167268190,337.05,-1.17%,81884600
435,MMI,"Marcus & Millichap, Inc.",1166292000,30.00,1.63%,1137038000
436,WWW,"Wolverine World Wide, Inc.",1166072095,14.68,-7.15%,2669400000
437,UFPT,"UFP Technologies, Inc.",1163069050,152.75,0.32%,380303000
438,TFIN,"Triumph Financial, Inc.",1161484215,52.41,-1.30%,468727000
439,DCPH,"Deciphera Pharmaceuticals, Inc.",1160593588,14.78,6.41%,138258000
440,IE,Ivanhoe Electric Inc.,1160289362,12.48,-8.30%,2357000
441,CNXN,"PC Connection, Inc.",1158842160,44.10,0.32%,3064197000
442,NBHC,National Bank Holdings Corporation,1156964276,30.68,-3.13%,340035000
443,SEMR,"Semrush Holdings, Inc.",1156148612,8.14,-1.45%,268058000
444,EAF,GrafTech International Ltd.,1155181536,4.50,-1.53%,1053807000
445,PTLO,Portillo's Inc.,1152823056,20.96,-1.60%,608683000
446,PL,Planet Labs PBC,1152111768,4.19,-1.41%,191256000
447,OFG,OFG Bancorp,1151598594,24.23,-1.98%,609755000
448,CGAU,Centerra Gold Inc.,1150377822,5.26,-0.19%,781500000
449,ZUO,"Zuora, Inc.",1150155025,8.38,-2.10%,396087000
450,ANF,Abercrombie & Fitch Co.,1144255014,22.86,-5.26%,3697751000
451,RDFN,Redfin Corporation,1143507600,10.32,-4.18%,2012757000
452,KRNT,Kornit Digital Ltd.,1142527420,22.85,-3.55%,236003000
453,BFS,"Saul Centers, Inc.",1137912243,34.74,-2.11%,246765000
454,BRCC,BRC Inc.,1137317724,5.37,-2.36%,318967000
455,CDE,"Coeur Mining, Inc.",1137145736,3.21,0.31%,784530000
456,MD,"Pediatrix Medical Group, Inc.",1133400450,13.65,-0.07%,1980800000
457,INFN,Infinera Corporation,1130336160,5.01,-1.18%,1626443000
458,PBT,Permian Basin Royalty Trust,1127932960,24.20,0.08%,55607059
459,BMEA,"Biomea Fusion, Inc.",1122214870,31.70,-1.34%,
460,PLL,Piedmont Lithium Inc.,1121647551,58.47,-1.73%,
461,FLGT,"Fulgent Genetics, Inc.",1121517312,37.76,6.13%,364868000
462,DMLP,"Dorchester Minerals, L.P.",1120447800,29.20,-0.31%,170566000
463,CCF,Chase Corporation,1118479237,117.67,0.11%,373870000
464,CIM,Chimera Investment Corporation,1116381760,4.81,-3.41%,-48256000
465,AFYA,Afya Limited,1114364140,11.89,2.68%,440275425
466,TCBK,TriCo Bancshares,1114088140,33.55,-2.19%,418638000
467,TUYA,Tuya Inc.,1113897956,1.85,-1.07%,208172000
468,MODN,"Model N, Inc.",1110437980,29.14,-0.51%,236100000
469,REPL,"Replimune Group, Inc.",1109304900,19.58,-0.31%,
470,TARO,Taro Pharmaceutical Industries Ltd.,1108369854,29.49,1.76%,569411000
471,MOD,Modine Manufacturing Company,1107033048,21.24,-1.39%,2254200000
472,MBUU,"Malibu Boats, Inc.",1105896414,53.62,-4.64%,1369268000
473,HNI,HNI Corporation,1105448443,26.51,-2.68%,2268500000
474,SFL,SFL Corporation Ltd.,1105364640,8.72,-1.47%,670393000
475,CHGG,"Chegg, Inc.",1103781520,9.22,-2.23%,752254000
476,FBRT,"Franklin BSP Realty Trust, Inc.",1103388210,13.41,-1.25%,209335000
477,DCBO,Docebo Inc.,1103379450,33.50,4.36%,152316000
478,FORTY,Formula Systems (1985) Ltd.,1103180754,72.02,1.67%,2572357000
479,MEG,"Montrose Environmental Group, Inc.",1101980292,36.78,-2.41%,541164000
480,LMND,"Lemonade, Inc.",1100037844,15.83,-2.16%,307600000
481,TASK,"TaskUs, Inc.",1098187394,11.31,-1.57%,956115000
482,MFA,"MFA Financial, Inc.",1097592240,10.77,-0.19%,88649000
483,INBX,"Inhibrx, Inc.",1097371012,25.16,3.62%,1280000
484,AVPT,"AvePoint, Inc.",1095889034,5.72,,241620000
485,SA,Seabridge Gold Inc.,1095030348,13.62,-0.95%,
486,AVDL,Avadel Pharmaceuticals plc,1094717384,14.26,4.24%,
487,DDD,3D Systems Corporation,1093832700,8.34,-2.46%,526266000
488,FINV,FinVolution Group,1092464131,3.90,-1.02%,1708595633
489,PNT,POINT Biopharma Global Inc.,1088534900,10.30,-1.44%,236036827
490,CLBT,Cellebrite DI Ltd.,1086370200,5.58,2.57%,279500000
491,PLAB,"Photronics, Inc.",1085183802,17.37,1.11%,845813000
492,HCSG,"Healthcare Services Group, Inc.",1084730900,14.62,-1.35%,1680595000
493,ECPG,"Encore Capital Group, Inc.",1081576314,46.06,-1.79%,1211295000
494,PCT,"PureCycle Technologies, Inc.",1080222000,6.60,-3.65%,
495,ASTS,"AST SpaceMobile, Inc.",1077822240,5.28,0.38%,11432000
496,GENI,Genius Sports Limited,1077683501,5.18,-4.07%,352335000
497,GNL,"Global Net Lease, Inc.",1074816450,10.35,0.88%,376056000
498,OLO,Olo Inc.,1073960444,6.63,-3.77%,194888000
499,DRD,DRDGOLD Limited,1073598573,11.83,1.98%,296553641
500,MGI,"MoneyGram International, Inc.",1071182176,10.96,,1340000000
501,UPWK,Upwork Inc.,1070405340,8.02,-2.79%,637839000
502,SAFT,"Safety Insurance Group, Inc.",1070018690,71.98,-1.59%,816315000
503,FWRG,"First Watch Restaurant Group, Inc.",1068308492,18.02,-0.06%,768456000
504,EWCZ,"European Wax Center, Inc.",1066180317,16.99,-0.47%,211817000
505,STBA,"S&T Bancorp, Inc.",1063801830,27.30,-1.23%,383264000
506,EVGO,"EVgo, Inc.",1063010457,3.96,-4.81%,72188000
507,DIN,"Dine Brands Global, Inc.",1062938682,67.86,-1.02%,892746000
508,SBR,Sabine Royalty Trust,1061664626,72.82,2.09%,
509,NRC,National Research Corporation,1060989374,43.13,2.11%,149600000
510,NXRT,"NexPoint Residential Trust, Inc.",1060945895,41.35,0.53%,272393000
511,USLM,"United States Lime & Minerals, Inc.",1060675648,186.40,-1.38%,252018000
512,SG,"Sweetgreen, Inc.",1056564979,9.48,0.53%,492576000
513,KIDS,OrthoPediatrics Corp.,1055555800,45.25,-0.26%,130460000
514,AMPL,"Amplitude, Inc.",1054849086,9.09,,251479000
515,TRS,TriMas Corporation,1054835946,25.42,-0.66%,874980000
516,OTLY,Oatly Group AB,1054329600,1.78,-6.32%,751697000
517,SBGI,"Sinclair Broadcast Group, Inc.",1053381673,16.71,-3.97%,3413000000
518,OSW,OneSpaWorld Holdings Limited,1052779792,10.84,0.93%,641051000
519,SSYS,Stratasys Ltd.,1052015132,15.38,-2.10%,637431000
520,AVNS,"Avanos Medical, Inc.",1051403004,22.53,-1.10%,814300000
521,FVRR,Fiverr International Ltd.,1051168800,27.84,-1.97%,338637000
522,OFLX,"Omega Flex, Inc.",1046778910,103.70,-0.11%,124181000
523,WT,"WisdomTree, Inc.",1046333686,7.01,-0.14%,305021000
524,OM,"Outset Medical, Inc.",1046097125,21.25,0.90%,118292000
525,CMRE,Costamare Inc.,1044057860,8.51,-1.39%,1094618000
526,ATEN,"A10 Networks, Inc.",1042945980,14.10,0.21%,275357000
527,AMSF,"AMERISAFE, Inc.",1041655524,54.39,-0.78%,297615000
528,SCLX,Scilex Holding Company,1041090597,7.14,3.48%,
529,CMCO,Columbus McKinnon Corporation,1040215968,36.36,0.11%,935765000
530,NXGN,"NextGen Healthcare, Inc.",1039179984,15.74,-0.57%,625881000
531,VERV,"Verve Therapeutics, Inc.",1036505646,16.74,2.45%,3345000
532,GEO,"The GEO Group, Inc.",1035917280,8.22,-1.44%,2433751000
533,PMT,PennyMac Mortgage Investment Trust,1035792212,11.83,-0.76%,312298000
534,GLP,Global Partners LP,1034826064,30.44,-4.49%,18407675000
535,WDH,Waterdrop Inc.,1034412463,2.71,-4.91%,401975323
536,GRND,Grindr Inc.,1032663012,5.94,-1.00%,207294000
537,ARHS,"Arhaus, Inc.",1032087504,7.37,-2.38%,1287196000
538,PGRE,"Paramount Group, Inc.",1031962556,4.44,2.30%,745166000
539,IMAX,IMAX Corporation,1031749110,18.90,-1.00%,327715000
540,KALU,Kaiser Aluminum Corporation,1031341170,64.55,1.45%,3286700000
541,GB,Global Blue Group Holding AG,1030918080,5.43,0.74%,263869000
542,ARGO,"Argo Group International Holdings, Ltd.",1029762960,29.28,-0.27%,1672900000
543,KC,Kingsoft Cloud Holdings Limited,1029133600,4.40,-7.37%,8180107000
544,FRG,"Franchise Group, Inc.",1026688194,29.19,-0.51%,4367184000
545,SRCE,1st Source Corporation,1026102180,41.55,-1.94%,350795000
546,RILY,"B. Riley Financial, Inc.",1024417196,36.41,-0.19%,1307171000
547,DH,Definitive Healthcare Corp.,1021693050,9.27,1.09%,231730000
548,WABC,Westamerica Bancorporation,1020096924,38.28,-3.21%,291349000
549,FOR,Forestar Group Inc.,1018911034,20.42,-0.92%,1208100000
550,CLB,Core Laboratories N.V.,1016817276,21.79,2.49%,502791000
551,IESC,"IES Holdings, Inc.",1016230094,50.38,0.30%,2328461000
552,AESI,Atlas Energy Solutions Inc.,1012662560,17.72,1.03%,576288000
553,QURE,uniQure N.V.,1012111680,21.27,2.65%,110016000
554,MBIN,Merchants Bancorp,1012098576,23.41,-3.58%,437411000
555,SNCY,"Sun Country Airlines Holdings, Inc.",1011858344,17.99,-0.88%,962036000
556,HLX,"Helix Energy Solutions Group, Inc.",1011534636,6.69,-0.45%,973059000
557,DNOW,NOW Inc.,1010894850,9.45,0.11%,2247000000
558,HSAI,Hesai Group,1008616997,8.73,4.43%,172549498
559,AHH,"Armada Hoffler Properties, Inc.",1008003587,11.39,-0.26%,519043000
560,SAVA,"Cassava Sciences, Inc.",1007830516,24.14,-1.99%,
561,CXW,"CoreCivic, Inc.",1007001020,8.86,-0.56%,1850343000
562,EIG,"Employers Holdings, Inc.",1005986592,37.44,-0.24%,768000000
563,SHEN,Shenandoah Telecommunications Company,1005942938,20.02,0.70%,274643000
564,NAMS,NewAmsterdam Pharma Company N.V.,1005743940,12.30,3.36%,103723404
565,GES,"Guess', Inc.",1004703524,18.04,-3.01%,2687350000
566,FREY,FREYR Battery,1004478892,7.19,-1.78%,
567,YEXT,"Yext, Inc.",1003189770,8.07,-0.62%,400850000
568,MRUS,Merus N.V.,1002275586,21.54,-1.55%,43430000
569,BUSE,First Busey Corporation,1002046872,18.12,-2.11%,456289000
570,CLNE,Clean Energy Fuels Corp.,1000856920,4.49,-1.75%,468850000
571,OPAL,OPAL Fuels Inc.,998999836,5.81,-1.28%,229441000
572,LOB,"Live Oak Bancshares, Inc.",997944524,22.52,-2.17%,498514000
573,VRDN,"Viridian Therapeutics, Inc.",995927116,23.09,2.30%,1654000
574,SILV,SilverCrest Metals Inc.,995281614,6.76,-0.29%,101493000
575,FSM,Fortuna Silver Mines Inc.,994166640,3.42,0.88%,674815000
576,NVGS,Navigator Holdings Ltd.,992550032,13.04,1.09%,473792000
577,HWKN,"Hawkins, Inc.",991142284,47.08,-1.11%,935098000
578,MIRM,"Mirum Pharmaceuticals, Inc.",989587436,26.02,-0.12%,95768000
579,HOLI,Hollysys Automation Technologies Ltd.,988458185,15.95,-1.48%,764524000
580,ADEA,Adeia Inc.,986798080,9.28,0.87%,665556000
581,NNOX,Nano-X Imaging Ltd.,985535861,17.87,2.29%,8578000
582,DAWN,"Day One Biopharmaceuticals, Inc.",982929936,13.36,2.14%,
583,CRNC,Cerence Inc.,981929676,24.36,-4.06%,299236000
584,CET,Central Securities Corp.,978894236,34.99,-0.14%,31139010
585,SGH,"SMART Global Holdings, Inc.",977998981,19.93,3.00%,1794889000
586,ATRI,Atrion Corporation,976021200,554.40,0.09%,176361000
587,MED,"Medifast, Inc.",975706656,89.97,-1.18%,1529959000
588,HOPE,"Hope Bancorp, Inc.",974982120,8.13,-2.87%,606012000
589,SLCA,"U.S. Silica Holdings, Inc.",974859600,12.65,1.28%,1662500000
590,MATV,"Mativ Holdings, Inc.",973450825,17.75,0.85%,2439600000
591,AZUL,Azul S.A.,972468000,8.40,-3.67%,3014757467
592,PRM,"Perimeter Solutions, SA",972040460,6.19,-4.77%,346605000
593,ASIX,AdvanSix Inc.,971100858,35.23,1.50%,1867111000
594,WALD,Waldencast plc,968084991,9.00,,312509000
595,NVRO,Nevro Corp.,967780744,27.02,-0.99%,414850000
596,KRO,"Kronos Worldwide, Inc.",967637780,8.41,-0.71%,1793600000
597,EVBG,"Everbridge, Inc.",967506298,23.86,-1.24%,439785000
598,DSGR,"Distribution Solutions Group, Inc.",963161694,45.59,-2.56%,1345607000
599,IRS,IRSA Inversiones y Representaciones SA,962092571,5.61,0.36%,256680000
600,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,961972500,14.10,1.66%,
601,INTR,"Inter & Co, Inc.",960476446,2.39,-5.16%,
602,SCRM,Screaming Eagle Acquisition Corp.,959999949,10.24,0.05%,
603,LPG,Dorian LPG Ltd.,959938395,23.79,5.73%,335698235
604,DCGO,DocGo Inc.,957134500,9.25,2.44%,435626897
605,RGR,"Sturm, Ruger & Company, Inc.",956768643,54.03,0.45%,578720000
606,CTKB,"Cytek Biosciences, Inc.",953739066,7.03,5.08%,166060000
607,RYTM,"Rhythm Pharmaceuticals, Inc.",953456673,16.77,1.64%,33609000
608,PAR,PAR Technology Corporation,952084440,34.74,-1.33%,375947000
609,SPLP,Steel Partners Holdings L.P.,950526903,43.87,0.55%,1735067000
610,UEC,Uranium Energy Corp.,949739250,2.53,0.80%,115193075
611,AGRO,Adecoagro S.A.,949411260,8.82,1.03%,1387618000
612,SPH,"Suburban Propane Partners, L.P.",948624264,14.94,-0.53%,1461934000
613,UUUU,Energy Fuels Inc.,946593662,5.99,-0.99%,29191000
614,CSR,Centerspace,945795039,59.27,-0.20%,264299000
615,BGS,"B&G Foods, Inc.",945240629,13.09,-1.13%,2142407000
616,ARR,"ARMOUR Residential REIT, Inc.",942372621,4.82,-1.63%,-156259000
617,BSIG,BrightSphere Investment Group Inc.,940408056,22.68,0.71%,396800000
618,UMH,"UMH Properties, Inc.",937493640,15.44,-1.34%,202515000
619,CBD,Companhia Brasileira de Distribuição,936827158,3.47,-1.70%,9208438061
620,KNSA,"Kiniksa Pharmaceuticals, Ltd.",934556395,13.37,1.21%,236336000
621,AEHR,Aehr Test Systems,934027072,32.96,3.36%,62981000
622,SASR,"Sandy Spring Bancorp, Inc.",932578400,20.80,-5.45%,494029000
623,BLFS,"BioLife Solutions, Inc.",929964820,21.40,-1.61%,163242000
624,PLYM,"Plymouth Industrial REIT, Inc.",929467440,21.60,0.70%,190130000
625,INNV,InnovAge Holding Corp.,927709200,6.84,4.91%,684073000
626,GPCR,Structure Therapeutics Inc.,927015168,24.24,7.64%,
627,GIC,Global Industrial Company,926096556,24.36,-0.45%,1151300000
628,NGMS,NeoGames S.A.,922774944,27.56,0.04%,201981000
629,SIBN,"SI-BONE, Inc.",921339336,26.22,0.38%,116678000
630,CDMO,"Avid Bioservices, Inc.",920693312,14.72,0.89%,140693000
631,CCRN,"Cross Country Healthcare, Inc.",920600898,25.62,1.26%,2640584000
632,WTTR,"Select Energy Services, Inc.",919476720,7.55,-1.18%,1509243000
633,CYRX,"Cryoport, Inc.",917737795,20.15,1.10%,247792000
634,ARKO,Arko Corp.,916724100,7.62,2.56%,9258484000
635,NHC,National HealthCare Corporation,915853512,59.78,0.50%,1076318000
636,GDOT,Green Dot Corporation,914857926,17.58,-0.96%,1465329000
637,ANIP,"ANI Pharmaceuticals, Inc.",913051543,45.97,-0.95%,358694000
638,AMWD,American Woodmark Corporation,912945264,54.88,1.05%,2086811000
639,ADMA,"ADMA Biologics, Inc.",911319267,4.10,1.49%,181890133
640,BHLB,"Berkshire Hills Bancorp, Inc.",907682600,20.50,-2.15%,437929000
641,ADPT,Adaptive Biotechnologies Corporation,906273130,6.28,1.45%,184335000
642,AZZ,AZZ Inc.,905814864,36.36,-1.46%,1323649000
643,COMM,"CommScope Holding Company, Inc.",904194900,4.31,,9001000000
644,MNTK,"Montauk Renewables, Inc.",903633980,6.29,-0.63%,192541000
645,IMOS,ChipMOS TECHNOLOGIES INC.,903413890,24.85,0.14%,766028143
646,MATH,Metalpha Technology Holding Limited,901365350,1.00,,5295841
647,SKWD,"Skyward Specialty Insurance Group, Inc.",900781760,23.92,-0.58%,679683000
648,NEXT,NextDecade Corporation,898974540,5.97,1.36%,
649,ICHR,"Ichor Holdings, Ltd.",896374515,30.85,-2.28%,1212793000
650,AVID,"Avid Technology, Inc.",895282081,20.39,-0.59%,414575000
651,NYMT,"New York Mortgage Trust, Inc.",894476742,9.81,-1.31%,109990000
652,DNN,Denison Mines Corp.,893836296,1.07,-2.73%,10075362
653,ASTE,"Astec Industries, Inc.",892507711,39.29,-0.38%,1331200000
654,UAN,"CVR Partners, LP",890700192,84.27,-0.70%,838971000
655,VALN,Valneva SE,890573339,12.19,1.08%,405395652
656,NIC,"Nicolet Bankshares, Inc.",888441142,60.37,0.05%,248730000
657,NGD,New Gold Inc.,888030042,1.30,0.78%,631300000
658,UTL,Unitil Corporation,887116216,55.16,-1.09%,590800000
659,ME,23andMe Holding Co.,887063015,1.94,-4.43%,307671000
660,ALLO,"Allogene Therapeutics, Inc.",886719360,6.08,,234000
661,CBAY,"CymaBay Therapeutics, Inc.",886342874,9.11,0.66%,
662,VREX,Varex Imaging Corporation,885164000,21.91,0.09%,879700000
663,IRBT,iRobot Corporation,884942787,32.07,-1.99%,1051706000
664,MRSN,"Mersana Therapeutics, Inc.",884203780,7.73,4.60%,32347000
665,VBTX,"Veritex Holdings, Inc.",883699920,16.29,-1.69%,407603000
666,STKL,SunOpta Inc.,882963000,7.65,0.53%,678196000
667,UNIT,Uniti Group Inc.,882720070,3.70,-1.07%,1140635000
668,INVA,"Innoviva, Inc.",882344268,13.47,2.05%,317652000
669,HY,"Hyster-Yale Materials Handling, Inc.",881951989,51.40,-0.70%,3720000000
670,GBX,"The Greenbrier Companies, Inc.",881391269,27.61,0.36%,3632700000
671,RSKD,Riskified Ltd.,880775115,5.10,-7.27%,271309000
672,OBNK,"Origin Bancorp, Inc.",880644410,28.61,-1.85%,326460000
673,BBAR,Banco BBVA Argentina S.A.,880261436,4.31,0.23%,
674,KURA,"Kura Oncology, Inc.",879436010,12.85,4.30%,
675,WKME,WalkMe Ltd.,878611040,10.00,2.25%,254050000
676,CHCT,Community Healthcare Trust Incorporated,878566960,33.40,-2.20%,101374000
677,TTGT,"TechTarget, Inc.",877795805,31.27,0.26%,286437000
678,PEBO,Peoples Bancorp Inc.,875379896,24.76,-1.32%,344706000
679,IMXI,"International Money Express, Inc.",873675017,23.99,2.48%,577503000
680,EQRX,"EQRx, Inc.",872372624,1.79,5.92%,
681,GSM,Ferroglobe PLC,871568100,4.65,2.20%,2283519000
682,RGNX,REGENXBIO Inc.,871062648,20.04,7.97%,109644000
683,TIO,"Tingo Group, Inc.",871027683,5.32,14.66%,987717000
684,AC,"Associated Capital Group, Inc.",869996246,39.75,2.98%,15111000
685,ARIS,"Aris Water Solutions, Inc.",869523381,9.39,0.11%,341603000
686,RXST,"RxSight, Inc.",868577364,25.56,4.24%,57552000
687,NBR,Nabors Industries Ltd.,868093590,91.00,-0.38%,2889061000
688,IDT,IDT Corporation,867148691,33.97,3.19%,1292668000
689,BLBD,Blue Bird Corporation,866468305,27.05,8.68%,999301000
690,APOG,"Apogee Enterprises, Inc.",864450666,38.79,-0.59%,1440696000
691,AMRK,"A-Mark Precious Metals, Inc.",864131290,37.15,0.19%,8257010000
692,TRUP,"Trupanion, Inc.",863672130,20.95,-3.10%,955509000
693,FCEL,"FuelCell Energy, Inc.",860151840,2.12,-7.42%,135762000
694,SII,Sprott Inc.,852611760,33.80,-0.79%,143325000
695,EFC,Ellington Financial Inc.,852281922,12.69,-0.70%,127612000
696,PUMP,ProPetro Holding Corp.,851557090,7.39,0.68%,1420592000
697,ARLO,"Arlo Technologies, Inc.",849537612,9.25,-4.05%,476667000
698,TBLA,Taboola.com Ltd.,849166027,2.85,-3.06%,1374110000
699,SBSI,"Southside Bancshares, Inc.",848885760,27.45,-2.90%,256046000
700,MLAB,"Mesa Laboratories, Inc.",848437179,158.70,0.51%,222368000
701,PRLB,"Proto Labs, Inc.",847919372,32.36,-0.37%,490089000
702,ROVR,"Rover Group, Inc.",847412000,4.60,-0.43%,187306000
703,BBDC,"Barings BDC, Inc.",847140600,7.85,0.64%,242575000
704,OCFC,OceanFirst Financial Corp.,847082064,14.24,-2.06%,435437000
705,LC,LendingClub Corporation,846839960,7.88,-2.60%,1143373000
706,LBAI,"Lakeland Bancorp, Inc.",846547380,13.02,-2.54%,335601000
707,KIND,"Nextdoor Holdings, Inc.",846539473,2.26,-2.16%,211536000
708,MOR,MorphoSys AG,844583520,6.18,4.04%,
709,PUBM,"PubMatic, Inc.",844505360,16.26,0.56%,257235000
710,CDRE,"Cadre Holdings, Inc.",843805700,22.45,1.08%,465179000
711,SPTN,SpartanNash Company,841814415,23.97,0.29%,9643100000
712,SLP,"Simulations Plus, Inc.",840872014,42.19,1.30%,54407000
713,PRDO,Perdoceo Education Corporation,836052420,12.39,1.14%,707847000
714,ASLE,AerSale Corporation,831835536,16.24,0.62%,364009000
715,HCCI,"Heritage-Crystal Clean, Inc",830578500,34.11,-0.61%,763447000
716,ELVN,"Enliven Therapeutics, Inc.",830107812,20.19,0.65%,
717,RDWR,Radware Ltd.,825128717,18.83,-1.36%,288759000
718,UBP,Urstadt Biddle Properties Inc.,824553282,19.46,-1.22%,
719,ALX,"Alexander's, Inc.",824469825,161.43,-3.89%,209540000
720,AVO,"Mission Produce, Inc.",824040662,11.65,0.09%,1042800000
721,MOND,"Mondee Holdings, Inc.",822287554,9.79,2.09%,171760000
722,THRY,"Thryv Holdings, Inc.",822189918,23.61,1.24%,1139568000
